ranking,name,producers,votersCount,score,popularity,members,favorite,episodes,animeType,premiredDate,animeSource,genres,studios,licenses,rating,Japanese,Italian,Portuguese(BR),German,Hungarian,English,Korean,Spanish,French,Mandarin,Hebrew,Producer,Director,EpisodeDirector,Storyboard,SoundDirector,KeyAnimation,2ndKeyAnimation,CharacterDesign,Script,SeriesComposition,ThemeSongLyrics,ThemeSongPerformance,ThemeSongArrangement,ThemeSongComposition,AnimationDirector,OriginalCreator,ADRDirector,ExecutiveProducer,ChiefAnimationDirector,DirectorofPhotography,In-BetweenAnimation,BackgroundArt,Planning,ColorDesign,AssistantAnimationDirector,Editing,ArtDirector,Music,ProductionCoordination,DigitalPaint,ColorSetting,AssistantDirector,SoundEffects,InsertedSongPerformance,OriginalCharacterDesign,Setting,Screenplay,AssociateProducer,SpecialEffects,AnimationCheck,ProductionAssistant,SoundSupervisor,PrincipleDrawing,AssistantProducer,ProductionManager,SoundManager,Co-Director,SeriesProductionDirector,MechanicalDesign,PlanningProducer,Layout,ChiefProducer,Recording,DialogueEditing,RecordingEngineer,Creator,RecordingAssistant,Publicity,Co-Producer,CastingDirector,Re-RecordingMixing,AssistantProductionCoordinat,SettingManager
1,Fullmetal Alchemist: Brotherhood,Aniplex;SquareEnix;MainichiBroadcastingSystem;StudioMoriken,1650275,9.15,3,2713695,191501,64.0,TV,Spring 2009,Manga,Action;Adventure;Comedy;Drama;Fantasy,Bones,Funimation;AniplexofAmerica,R-17+,"Kugimiya,Rie;Park,Romi;Utsumi,Kenji;Utsumi,Kenji;Soumi,Youko;Kugimiya,Rie;Umezu,Hideyuki;Ueda,Yuuji;Shibata,Hidekatsu;Kiuchi,Hidenobu;Satou,Ai;Sanpei,Yuuko;Sato,Biichi;Hayashi,Yuuki;Ootomo,Ryuuzaburou;Shindo,Naomi;Gotou,Mai;Nishi,Rintarou;Katou,Seizou;Egawa,Hisao;Tsuda,Shouko;Sasaki,Seiji;Shouji,Masayuki;Amada,Masuo;Katsu,Anri;Arimoto,Kinryuu;Takamori,Yoshino;Mitsugi,Yuuki;Takayama,Minami;Hamada,Kenji;Nagashima,Shinsuke;Hori,Katsunosuke;Kakihara,Tetsuya;Miyake,Kenta;Shiratori,Tetsu;Aomori,Shin;Nakamura,Yuuichi;Naya,Rokurou;Taketora;Ueda,Yuuji;Orikasa,Fumiko;Tani,Atsuki;Tsuji,Shinpachi;Namikawa,Daisuke;Ishizuka,Unshou;Kayumi,Iemasa;Hanba,Tomoe;Fukuen,Misato;Fujiwara,Keiji;Shimura,Tomoyuki;Horikawa,Jin;Yoshino,Hiroyuki;Ohara,Takashi;Mizuki,Nana;Sayuri;Iizuka,Shouzou;Inoue,Kikuko;Matsuoka,Youko;Uemura,Noriko;Omoro,Masayuki;Honda,Takako;Sakaguchi,Shuuhei;Kugimiya,Rie;Yamadera,Kouichi;Nakai,Kazuya;Miki,Shinichiro;Kayumi,Iemasa;Nara,Tooru;Okamura,Akemi;Houki,Katsuhisa;Inada,Tetsu;Koyama,Mami;Asou,Miyoko;Takamoto,Megumi;Nazuka,Kaori;Miyake,Kenta;Koyasu,Takehito;Fujimoto,Yuzuru;Fujimura,Chika;Nojima,Kenji;Matsumoto,Dai;Tachiki,Fumihiko;Yukino,Satsuki;Kugimiya,Rie;Nagai,Makoto;Morohoshi,Sumire;Miyano,Mamoru;Yao,Kazuki;Hikida,Takashi","Ponticelli,Benedetta;Novara,Renato;Scianca,Patrizia;Zucca,Mario;Bottale,Luca;Fallica,Raffaele;DeSantis,Paolo;Fantini,Silvana;Andreozzi,Ruggero;Mantovani,Roger;Albertini,Stefano;Clerici,Serena;Balbi,Marco;Fanfani,Donatella;Albertini,Stefano;Battezzato,Giovanni;DeSantis,Paolo;Oppido,Dario;Fantini,Silvana;Felletti,Alessandra;Sesana,Paolo;Albertini,Stefano;Scarabelli,Mario;Benedetti,Marco;DeSantis,Paolo;Fallica,Raffaele;Ciravolo,Natale;Calindri,Gabriele;Scarabelli,Mario;Prata,Patrizio;DeDomenico,Tania;Farina,Raffaele;Clerici,Serena;""DErrico,Alessandro"";Oppido,Dario;Sesana,Paolo;Pacotto,Emanuela;Patruno,Stefania;Balzarotti,Marco;Caggiula,Beatrice;Balzarotti,Marco;Zito,Giacomo;Iacono,Gianluca;Sesana,Paolo;Ciravolo,Natale;Balzarotti,Marco;Cesone,Elisabetta;Spinelli,Elisabetta;Lotti,Massimiliano;Granato,Jolanda;Oppido,Dario;Karpoff,Alessandra;Danti,Federico;Clerici,Serena;Merluzzo,Maurizio;Corbetta,Oliviero;Sabre,Diego","Andreatto,Rodrigo;Campos,Marcelo;Zink,Mariana;Baroli,Gilberto;Ramos,Mauro;Cruz,Walter;Lemes,Cecília;Milani,Gabi;Sodre,Elcio;Guarnieri,JoséOtávio;Lobue,LuizAntônio;deSá,Isabel;Luiz,Ítalo;Campos,Ramon;Araújo,Márcio;Moreno,Antônio;Lima,MárciaRegina;Alencar,Bianca;Perón,Fernando;Lopes,Guilherme;Fábio,Ricardo;Gaidarji,Tânia;Castro,Mauro;Araújo,Rodrigo;Alves,Celso;Lopes,Guilherme;Araújo,Alessandra;Giraldi,Sílvio;Lima,Wellington;Soares,Renato;Vaccari,Hélio;Júnior,Figueira;Sawaya,Ricardo;Marchetti,César;Moreno,Antônio;Marconatto,Alexandre;Guerra,JoséCarlos;Cruz,Walter;Corsetti,Sérgio;Quinto,Letícia;deMoraes,LuizCarlos;Moura,Fábio;Fagundes,Vagner;Camilo,Leonardo;Silveira,Carlos;Bezerra,Wendel;Bezerra,Ulisses;Pissardini,Adriana;Paulita,Flora;Laffey,Luiz;Briggs,Guilherme;Rodrigues,Zeca;Chiesse,Nestor;Fernandes,Samira;Souza,Patrícia;Bortoletto,Marli;Cruz,Walter;Alves,Vanessa;Valença,Carol;Baroli,RosaMaria;Fonseca,Gessy;Lilla,Sidney;Campanile,Carlos;Helena,Lúcia;Brêtas,Francisco;Sodre,Elcio;Baroli,Hermes;Abreu,MarcoAntônio;Bezerra,Wendel;Santos,Angelica;Simões,CarolCrespo;Ricardo,Hamilton;Ferreira,Matheus;Márcio,Renato;Zordan,Zaíra;Lemes,Cecília;Andreatto,Andressa;Pereira,SilviaSuzy;Grinnan,Felipe;Rollo,Alfredo;Campanile,Carlos;Marinho,Raquel;Costha,Faduli;Guarnieri,JoséOtávio;Costha,Faduli;Mendes,Vanderlan;Bulara,Fernanda;Rollo,Alfredo;Pissardini,Marcelo;Keplermaier,Tatiane;Chesman,Yuri;Santoro,Gileno;Campanile,Carlos","Gerick,Wanja;Turba,David;Häcke,Maximiliane;Maise,Dieter;Obermeyer,Arne;Harting,Peter;Räuker,Erich;Linderhaus,Silke;Werner,Rieke;Sablik,Nico;Martin,ThomasBalou;Kuschmann,Bernd;Wolf,Volker;Leiße,Kordula;Brink,Dieter;Thiele,LouisFriedemann;Krause,Thomas;Berg,Rolf;Wunsch,Vanessa;Haggége,Julien;Brecklinghaus,Tobias;Kilbinger,Hans-Gerd;Alfieri,Vittorio;Haase,Markus;Baaken,Renier;Brink,Dieter;Höppner,Gregor;Kilbinger,Hans-Gerd;Schepmann,Philipp;Wienand,Gabriele;Reitz,Olaf;Glunz-grosch,Petra;Brückner,Sarah;Roden,SimonT.;Rott,Fritz;Brandes,Winnie;Puciata,Christina;Bayer,Hans;Welter,Ilya;Buchali,Karin;Lühn,Matthias;Potempa,Annette;Martin,ThomasBalou;Nathan,David;Naas,Stefan;Heß,Katrin;Brandecker,Dieter;Aubrecht-Puciata,Leon;Kuschmann,Bernd;Kuhne,IngaSibylle;Fey,Demet;Baumgardt,Birte;Schleberger,Stephan;Friebe,Thomas;Wolf,Volker;Dorenkamp,Corinna;Bayer,Hans;Gülgec,BetülJülide;Werner,Daniel;Dawn-Claude,René","Baráth,István;Szabó,Máté;Faragó,András;Varga,Rókus;Kiss,Virág;Németh,Kriszta;Kossuth,Gábor;Nyírő,Eszter;Seder,Gábor;Kisfalusi,Lehel;Hamvas,Dániel;Király,Attila;Oláh,Orsolya;Oberfrank,Pál;Joó,Gábor;Csuha,Borbála;Solecki,Janka;Wégner,Judit;Hujber,Ferenc;Mezei,Kitty;Várnagy,Katalin;Győrfi,Anna;Viczián,Ottó;Laudon,Andrea;Előd,Álmos","Whitehead,Maxey;Truncale,Lily;Mignogna,Vic;Hofmann,Muriel;Sabat,Christopher;Sabat,Christopher;Young,Stephanie;Oxley,Kate;Jewell,Jerry;Ayres,Greg;Bevins,Christopher;Blaylock,Ed;Schultes,Dana;Karbowski,Brittney;Inman,Jeremy;Foronda,Jim;Parsons,Phil;Marchi,Jamie;Rial,Monica;Truncale,Lily;Wald,David;Mullins,Andy;Auten,Christine;Carter,Bob;Grelle,Josh;Manley,George;Burgmeier,John;Elliott,R.Bruce;Mackay,Lydia;Powell,Wendy;Hebert,Kyle;Mathis,Brian;Green,Kenny;Connolly,KevinM.;Robinson,Antimere;Cason,Chris;Elliott,R.Bruce;Baker,Troy;Patton,Chris;Flynn,Bill;Parsons,Phil;McFarland,Mike;Clinkenbeard,Colleen;Hofmann,Muriel;Campbell,Bradley;Swasey,John;Dismuke,Aaron;Williams,Kent;Munoz,Anastasia;Leigh,Cherami;Strait,Sonny;Love,Andrew;Liebrecht,Jason;Vale,Eric;Nishimura,Trina;Huber,Susan;Dulcie,Greg;Bailey,Laura;Hofmann,Muriel;Dougherty,Pam;Young,Linda;Russell,Jerry;Grant,Tiffany;Martin,Josh;Ballard,Tia;Massey,Bryan;Douglas,Jason;Willingham,Travis;Bailey,Matt;Williams,Kent;Cook,Justin;Cranz,Cynthia;Ayres,Christopher;Marchi,Jamie;Gremillion,John;Calene-Black,Shelley;Erickson,Juli;Glass,Caitlin;Hofmann,Muriel;McCoy,Meredith;Tatum,JohnMichael;McCollum,Robert;James,Grant;Lau,Gwendolyn;Brannan,Duncan;Jenkins,Bill;Seitz,Patrick;Clinkenbeard,Colleen;Christian,Luci;Huber,Chuck;Palencia,Brina;Haberkorn,Todd;Yandell,Barry;Rager,Chris","Yun,MiNa;O,InSeong;Yang,JeongHwa;Lee,JiYeong;Hyeon,GyengSu;Kim,SeonHye;Jang,Gwang;Choi,Han;Jeong,HyeOk;Tak,WonJe;Seong,WanGyeong;Lee,JiYeong;Hong,BeomGi;Hong,BeomGi","Torres,Jhonny;Vieira,JoseManuel;Perez,LuisMiguel;Indriago,Héctor;Estévez,MaríaJosé;Godoy,Citlalli;Balam,Ángel;Indriago,Héctor;Estévez,MaríaJosé;Monsalve,Rafael;Bastidas,Rolman;Chacón,Lileana;Carreño,Luis;González,Marycel;Nittoli,Adolfo;Aponte,Rebeca;Guedes,Maythe","Pic,Audrey;Boudonnat,Lucille;Pestel,Arthur;Creton,François;Allemane,Benoît;Chevalot,Marie;Pichon,Yann;Bienaimé,Nathalie;Beaucaire,Nicolas;Lemarie,Sylvain;Lemarie,Sylvain;Bizot,Hélène;Lemarie,Sylvain;Popovic,Frédéric;Pichon,Yann;Pichon,Yann;Rouzier,Gérard;Bréheret,Laurence;Beaucaire,Nicolas;Kazazian,Thierry;Lemarie,Sylvain;Kazazian,Thierry;Violette,Vincent;Lemarie,Sylvain;Kazazian,Thierry;Violette,Vincent;Allemane,Benoît;Monge,Cyrille;Manoury,Agnès;Lemarie,Sylvain;Rouzier,Gérard;Monge,Cyrille;Popovic,Frédéric;Monge,Cyrille;Sindberg,Susan;Keen,Jerome;Sindberg,Susan;Tomé,Antoine;LeMinoux,Martial;Chatelet,Julien;Violette,Vincent;Violette,Vincent;Diot,Marie;Bréheret,Laurence;Tomé,Antoine;Bienaimé,Nathalie;Tomé,Antoine;Magne,Bruno;Violette,Vincent;Bienaimé,Nathalie;Popovic,Frédéric;Beaucaire,Nicolas;Allemane,Benoît",,,"Cook,Justin;Yonai,Noritomo","Irie,Yasuhiro","Irie,Yasuhiro;Ikehata,Hiroshi;Ikezoe,Takahiro;Ishida,Tooru;Kinutani,Soushi;Morii,Kenshirou;Ogiwara,Rokou;Ookubo,Masao;Sueda,Yoshifumi;Yabuki,Tsutomu","Irie,Yasuhiro;Ikezoe,Takahiro;Kinutani,Soushi;Morii,Kenshirou;Ookubo,Masao;Yabuki,Tsutomu;Andou,Masahiro;Ishihira,Shinji;Sakoi,Masayuki;Sasaki,Shinsaku;Tamura,Koutarou;Terahigashi,Katsumi;Teraoka,Iwao;Tomisawa,Nobuo","Mima,Masafumi","Ikezoe,Takahiro;Kinutani,Soushi;Morii,Kenshirou;Ookubo,Masao;Yabuki,Tsutomu;Teraoka,Iwao;Akai,Toshifumi;Amemiya,Akira;Amisaki,Ryouko;Aono,Atsushi;Aragaki,Issei;Arai,Jun;Arai,Nobuhiro;Baba,Toshiko;Ban,Yukiko;Chikaoka,Sunao;Douge,Shintarou;Ebisu,Takuma;Ferreira,Christophe;Fukushima,Hiroyuki;Hata,Ayako;Hayama,Junichi;Honjou,Keiichirou;Hwang,InBum;Ibata,Shouta;Igawa,Rena;Ikeuchi,Naoko;Itou,Hidetsugu;Iwasaki,Taisuke;Iwataki,Satoshi;Kameda,Yoshimichi;Kamura,Hiroyuki;Kaneda,Eiji;Kawamoto,Toshihiro;Kiso,Yuuta;Kitagawa,Takayuki;Kobayashi,Hiroshi;Koike,Satoshi;Komatsu,Eiji;Komatsu,Yuuki;Kotani,Kyouko;Kumazen,Takashi;Kurakari,Shingo;Kurita,Shinichi;Kuroyanagi,Kenji;Kusama,Hideoki;Kuwana,Ikuo;Mataga,Daisuke;Matsuoka,Hideaki;Miyamae,Shinichi;Mori,Ayako;Morita,Takeshi;Murata,Noriyasu;Nagano,Miharu;Nakamura,Yutaka;Nakazawa,Yuuichi;Natsume,Shingo;Nii,Hirotaka;Nishida,Asako;Nomura,Kazuya;Numata,Seiya;Oka,Tatsuya;Okazaki,Hiromi;Onoda,Kazuyoshi;Ookaji,Hiroyuki;Park,Seong-Hu;Sasaki,Youhei;Satou,Hiromasa;Shibata,Jun;Shibata,Katsunori;Shimomura,Makoto;Sunagawa,Masakazu;Takada,Akira;Takagi,Masayuki;Takigawa,Kazuo;Tanaka,Hironori;Tanaka,Orie;Tateishi,Kiyoshi;Tomioka,Hiroshi;Tsuchiya,Kei;Wakabayashi,Shin;Wanibuchi,Kazuhiko;Yakou,Hiroshi;Yamada,Yuukei;Yamamoto,Aoi;Yamauchi,Noriyasu;Yokobori,Hisao;Yoshida,Kousuke;Yoshihara,Tatsuya;Yoshioka,Takeshi;ryo-timo","Ikezoe,Takahiro;Akasaka,Shunji;Kameda,Yoshimichi;Kurita,Shinichi;Miwa,Kazuhiro;Satou,Toshiyuki;Shibata,Katsunori;Takahashi,Yuya;Yoshioka,Takeshi","Morii,Kenshirou;Kanno,Hiroki","Burgmeier,John;Minakami,Seishi;Oonogi,Hiroshi;Suga,Shoutarou;Tsuchiya,Michihiro","Oonogi,Hiroshi",CHEMISTRY;NICOTouchestheWalls;SCANDAL;SID;SukimaSwitch;Yui,"CHEMISTRY;Fukuhara,Miho;[""LilB"";NICOTouchestheWalls;Nakagawa,Shoko;SCANDAL;SID;SukimaSwitch;Yui","Kameda,Seiji;NICOTouchestheWalls;SID;SukimaSwitch",NICOTouchestheWalls;SID;SukimaSwitch;Yui,"Aono,Atsushi;Iijima,Hiroya;Ishino,Satoshi;Kobayashi,Hiroshi;Kobayashi,Yuu;Saitou,Tsunenori;Shibata,Jun;Yoshioka,Takeshi","Arakawa,Hiromu","Bezerra,Úrsula;Campos,Marcelo;Glass,Caitlin;Kazazian,Thierry;McFarland,Mike;Viana,William;Violette,Vincent","Fukunaga,Gen","Fukuoka,Hidenori;Kameda,Yoshimichi;Kaneda,Naomi","Furumoto,Mayuko","Kameda,Yoshimichi;Oosawa,Mina;Saitou,Kengo;Yokoya,Kenta","Kanehira,Kazushige;Nakajima,Mika;Ooizumi,Anna;Satou,Takeshi;Tanabe,Hiroko;toi8","Minami,Masahiko;Ueda,Masuo","Nakao,Fusako","Park,Seong-Hu;Yoshioka,Takeshi","Sadamatsu,Gou","Satou,Takeshi","Senju,Akira","Shinya,Une","Uemura,Takako",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Gintama°,TVTokyo;Aniplex;Dentsu,173906,9.09,337,493336,13063,51.0,TV,Spring 2015,Manga,Action;Comedy;Sci-fi,Bandai Namco Pictures,Funimation;Crunchyroll,PG-13-Teens,"Kugimiya,Rie;Ishii,Kouji;Sugita,Tomokazu;Tomatsu,Haruka;Yaguchi,Asami;Sakaguchi,Daisuke;Ootsuka,Houchuu;Sakai,Keikou;Sugimoto,Yuu;Saiga,Mitsuki;Shirokuma,Hiroshi;Aizawa,Yurika;Aoyama,Kouhei;Ueda,Yuuko;Higa,Kumiko;Miyake,Kenta;Miyamoto,Mana;Tachiki,Fumihiko;Fujiwara,Keiji;Kumai,Motoko;Nishimura,Tomomichi;Nakai,Kazuya;Sakurai,Tomo;Shimada,Bin;Namikawa,Daisuke;Inoue,Marina;Chiba,Isshin;Saitou,Aya;Hirano,Aya;Shimamura,Yuu;Hino,Satoshi;Ishida,Akira;Kaida,Yuki;Yamazaki,Takumi;Hayamizu,Risa;Chiba,Susumu;Takahashi,Chiaki;Kokuryu,Sachi;Ishizuka,Unshou;Ishizuka,Katashi;Ono,Kensho;Wakamoto,Norio;Satou,Rina;Nemoto,Keiko;Watanabe,Akeno;Inoue,Kazuhiko;Suzumura,Kenichi;Itou,Shizuka;Kujira;Chiba,Shigeru;Takahashi,Mikako;Sakurai,Takahiro;Miki,Shinichiro;Kobayashi,Yuu;Okitsu,Kazuyuki;Itou,Kentarou;Morikawa,Toshiyuki;Sanpei,Yuuko;Miyake,Kenta;Yukino,Satsuki;Sorachi,Hideaki;Koyasu,Takehito;Kuwashima,Houko;Chafurin;Minami,Omi;Hashi,Takaya;Ono,Yuuki;Matsui,Eriko;Hirohashi,Ryou;Yusa,Kouji;Kaida,Yuuko;Hoshino,Takanori;Yamadera,Kouichi;Arai,Satomi;Kuroda,Takaya;Tatsuta,Naoki;Orikasa,Fumiko;Oota,Tetsuharu;Yamadera,Kouichi",,,,,"Loewen,Jocelyne;Daingerfield,Michael;Pitre,Sabrina;Howard,Cole;Cole,Ted;Adamthwaite,Michael;Sheridan,Kelly;McNeil,Scott;Panton,Giles;Day,Carol-Anne;Kaye,DavidA.;Lindbjerg,Lalainia;Simpson,Jason;Tong,Vincent;Swaile,Brad;Francis,Andrew;Jaud,Janyse;Zahara,Alex;Strand,Chantal;Medrek,Caitlynne;Collins,Marlie;Soudak,Advah;Petriw,Adrian",,,,,,,"Fujita,Youichi;Miyawaki,Chizuru","Asami,Matsuo;Koshida,Tomoaki;Minami,Yasuhiro;Minamikawa,Tatsuma;Yoshimura,Ai;Yoshizawa,Toshikazu","Fujita,Youichi;Miyawaki,Chizuru;Minami,Yasuhiro","Takamatsu,Shinji","Miyawaki,Chizuru;Abe,Miyuki;Hayashi,Kanako;Hayashi,Asuka;Honjou,Keiichirou;Ikeuchi,Naoko;Ishikawa,Mariko;Itou,Tatsufumi;Kitamura,Tomoyuki;Komatsu,Eiji;Nii,Hirotaka;Sasaki,Youhei;Satou,Youko;Suzuki,Hiromi","Hayashi,Kanako;Honjou,Keiichirou;Sasaki,Youhei","Takeuchi,Shinji","Kishimoto,Taku;Matsubara,Shuu;Mieno,Hitomi",,AquaTimez;BLUEENCOUNT;DOES;HoneyWorks,"AquaTimez;BLUEENCOUNT;CHiCO;DOES;HoneyWorks;Negoto;[""OKAMOTOS"";Swimy;THREELIGHTSDOWNKINGS",AquaTimez;BLUEENCOUNT;DOES;HoneyWorks;Swimy,AquaTimez;BLUEENCOUNT;DOES;HoneyWorks,"Honjou,Keiichirou;Ikeuchi,Naoko;Ishikawa,Mariko;Miyazaki,Satomi;Nakamura,Yumi;Sasaki,Youhei;Suzuki,Hiromi","Sorachi,Hideaki",,,,"Teramoto,Yuuki",,,"Fujita,Youichi","Utagawa,Ritsuko","Nakamura,Yumi","Seyama,Takeshi","Fukushima,Takayoshi;Maniwa,Nami",AudioHighs,,,"Utagawa,Ritsuko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Shingeki no Kyojin Season 3 Part 2,ProductionI.G;Dentsu;MainichiBroadcastingSystem;PonyCanyon;Kodansha;TechnoSound;PonyCanyonEnterprise,1127900,9.09,33,1635976,46238,10.0,TV,Spring 2019,Manga,Action;Drama;Fantasy;Mystery,Wit Studio,Funimation,R-17+,"Ishikawa,Yui;Inoue,Marina;Kamiya,Hiroshi;Kaji,Yuuki;Yamaji,Kazuhiro;Nishi,Rintarou;Kobayashi,Yuu;Oosaka,Ryouta;Hosoya,Yoshimasa;Numakura,Manami;Mamiya,Yasuhiro;Watanabe,Akeno;Ono,Kensho;Sugita,Tomokazu;Kishimoto,Nozomi;Suzuki,Tatsuhisa;Ogino,Seirou;Sakurai,Tomo;Juku,Ikkyuu;Sano,Yasuyuki;Hashizume,Tomohisa;Taniyama,Kishou;Nara,Tooru;Matsumoto,Yasunori;Hamada,Kenji;Mikami,Shiori;Shimamura,Yuu;Takahashi,Kenji;Tanaka,Masahiko;Hatanaka,Tasuku;Hayama,Ikumi;Onozuka,Takashi;Ono,Daisuke;Shimono,Hiro;Takamori,Yoshino;Miura,Chiyuki;Tsuchida,Hiroshi;Uemura,Yuuto;Fujita,Saki;Tezuka,Hideaki;Koyasu,Takehito;Park,Romi;Calvello,Jessica","Perino,Elena;Bolognesi,Gaia;Raffaeli,Daniele;Campaiola,Alessandro;Iansante,Christian;Favazza,Valentina;Giuliani,Daniele;Mete,Andrea;Usai,Annalisa;Castagna,Jacopo;Aquilone,Flavio;Reggente,Emiliano;Gioncardi,Chiara;Pucci,Fabrizio;Quarta,Alessandro;Patriarca,Gabriele;DiCaccamo,Irene;Guerrieri,Vittorio;Serpelloni,Mattea;Zucca,Franco;Baldini,Antonella","Stefane,Mayara;Volpato,Pedro;Sangregório,Bruno;Almeida,Lucas;Lobue,LuizAntônio;Vestri,Alexander;Cadamuro,AnaPaula;Silva,Dláigelles;Guarnieri,Isabella;Tatini,Adrian;Guarnieri,Caio;Campos,Fábio;Gonçalves,Renan;Martim,Rodrigo;Berro,Bernardo;deBrito,Giulia;Cunha,Maitê;Rinaldi,André;Benassi,Veridiana;Marques,Guilherme;Diniz,Diego;deAlmeida,Amazyles;Capella,Monalisa;Moreno,Sérgio;Morais,AnaMaria;Baroli,Gilberto;Bittencourt,Pierre;Molinari,Paola",,,"Nishimura,Trina;Grelle,Josh;Mercer,Matthew;Papenbrook,Bryce;Parsons,Phil;Jewell,Jerry;Burch,Ashly;Tindle,Austin;McCollum,Robert;Hawkins,Brad;Karbowski,Brittney;Shipman,Matt;Haberkorn,Todd;Harlacher,Erika;Matranga,David;McFarland,Mike;Apprill,Bryn;Landa,Lauren;Tatum,JohnMichael;Chapin,Clifford;Cavanagh,Jessica;Hury,Chris;Maxwell,Elizabeth;Liebrecht,Jason",,,"Bienaimé,Nathalie;Niverd,Victor;Méyère,Bruno;Grull,Pascal;Rausenberger,Emmanuel;Nonnenmacher,Marie;Laurent,Arnaud;Chemin,Pascale;Bretonnière,Marc;Tomé,Antoine;Souterelle,Frédéric;Chemin,Pascale;Bretonnière,Marc;Rausenberger,Emmanuel;Laisné,Grégory;Jean,Bérangère;Combes,Caroline;Chemin,Pascale;Pichon,Yann;Mendiant,Charles;Chemin,Pascale;Lambotte,Jessie",,,"Morishita,Katsuji;Nakatake,Tetsuya;Wada,Jouji;Yabuta,Shuuhei","Araki,Tetsurou;Koizuka,Masashi","Araki,Tetsurou;Itoga,Shintaro;Tanaka,Hiroyuki;Yokoyama,Akitoshi","Araki,Tetsurou;Akamatsu,Yasuhiro;Komatsuda,Daizen;Miyaji,Masayuki;Murata,Kazuya;Satou,Yuuzou","Mima,Masafumi","Imai,Arifumi;Izawa,Tamami;Oota,Emi;Yamauchi,Ryou",,"Asano,Kyouji","Kobayashi,Yasuko;Seko,Hiroshi","Kobayashi,Yasuko",,CinemaStaff;LinkedHorizon,,,"Koizuka,Masashi;Chiba,Takaaki;Ebisu,Takuma;Hashimoto,Takanori;Imai,Arifumi;Izawa,Tamami;Kawasaki,Rena;Kikuchi,Toshihiro;Miki,Tatsuya;Miyamura,Akira;Miyazaki,Satomi;Oosugi,Naohiro;Tamura,Yasuho;Tezuka,Kyouhei;Tokuda,Yumenosuke;Yamada,Ayumi;Yamashita,Megumi","Isayama,Hajime","Sangregório,Bruno","Ishikawa,Mitsuhisa","Asano,Kyouji;Kadowaki,Satoshi","Yamada,Kazuhiro",,"Fujii,Kazushi","Morishita,Katsuji","Hashimoto,Satoshi",,"Hida,Aya","Yoshihara,Shunichirou","Sawano,Hiroyuki",,,,"Koizuka,Masashi;Tanaka,Hiroyuki","Kurahashi,Shizuo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
